#Release 14.1 - par P.15xf (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Mon Jan 23 18:30:29 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_alu_map.ncd
#OUTPUT FILE:      my_alu_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,result<20>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P3,result<3>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P4,carryout,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P5,result<4>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P6,B<14>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P7,B<30>,IBUF,IO_L03P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P8,A<14>,IBUF,IO_L03N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,zero,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P11,,,GND,,,,,,,,,,,,
P12,A<17>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P13,,,VCCO_3,,,3,,,,,2.50,,,,
P14,result<6>,IOB,IO_L04P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P15,A<31>,IBUF,IO_L04N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P16,A<12>,IBUF,IO_L05P_3/LHCLK2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P17,A<15>,IBUF,IO_L05N_3/LHCLK3/IRDY2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P18,A<21>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P19,,,GND,,,,,,,,,,,,
P20,A<20>,IBUF,IO_L06P_3/LHCLK4/TRDY2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P21,A<11>,IBUF,IO_L06N_3/LHCLK5,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P22,A<22>,IBUF,IO_L07P_3/LHCLK6,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P23,B<21>,IBUF,IO_L07N_3/LHCLK7,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P24,B<10>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P25,result<7>,IOB,IO_L08P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
